,Date,Region,Weather,Seasonality,Promotion,Price,Discount,CompetitorPrice,InventoryLag,TrueDemand
0,2023-01-01,North,Snowy,0.0,0,103.06007380727527,0.26133516263846096,98.45603547159409,486,69.15708507143393
1,2023-01-02,North,Cloudy,0.006286287067720245,1,99.65508635514897,0.039219545621013104,106.91390195341538,303,85.52776012193276
2,2023-01-03,North,Snowy,0.01257232571523362,0,96.80104466684416,0.20825532667184168,91.86878054103539,325,69.82588257566157
3,2023-01-04,East,Snowy,0.018857867532150272,0,101.61046405822881,0.2980309641530082,101.26165323157107,480,71.68270653988738
4,2023-01-05,North,Cloudy,0.025142664127713998,0,97.82439135716095,0.017838468555539222,99.85279426810345,442,76.34908399087077
5,2023-01-06,North,Rainy,0.0314264671406181,0,97.28193266340129,0.26990688979687244,93.08967456092044,355,72.36236595539008
6,2023-01-07,North,Rainy,0.03770902824882009,0,105.04699517538448,0.29195777971770476,101.41775222906483,497,70.78798785530425
7,2023-01-08,East,Cloudy,0.04399009917935478,0,94.99460647479471,0.16757748863661165,91.66510289690213,326,73.33407767566031
8,2023-01-09,West,Rainy,0.05026943171814557,0,95.97316640350064,0.02137019846252659,90.97633765651429,477,78.31654494229193
9,2023-01-10,East,Cloudy,0.056546777719813215,0,101.4698899822795,0.07321586277732935,97.05224145623956,301,69.49343211827637
10,2023-01-11,East,Snowy,0.06282188911748207,0,95.61890412802965,0.016917471559508124,93.58230295676093,300,72.37847054148723
11,2023-01-12,East,Snowy,0.06909451793258313,0,99.0953982722702,0.061896027494785164,94.08791058667063,323,69.6874229401672
12,2023-01-13,West,Cloudy,0.07536441628465354,0,106.26298792060241,0.087515106925915,109.9539747109191,323,66.05510844663493
13,2023-01-14,North,Cloudy,0.08163133640113233,0,103.13090013216265,0.14847669965467017,102.05123219083421,320,71.88895669086152
14,2023-01-15,South,Sunny,0.08789503062715187,0,99.47730155038846,0.1373016649013298,94.92525059052521,359,66.93813997637834
15,2023-01-16,West,Cloudy,0.09415525143532459,0,101.04814298423189,0.1716344561629381,101.8766706345202,368,74.67722608760964
16,2023-01-17,West,Rainy,0.10041175143552472,0,102.09551898590084,0.22571692662562404,104.94648475776488,464,70.77914421592469
17,2023-01-18,South,Cloudy,0.10666428338466463,1,102.18100491507288,0.19924324763159365,107.69943415229612,408,86.6481983020044
18,2023-01-19,North,Cloudy,0.11291260019646535,0,94.06996218401335,0.21128932738662362,95.93883524640073,373,75.75425686502373
19,2023-01-20,North,Rainy,0.11915645495122076,0,117.68371378237562,0.1785936894982432,109.51654065873376,489,58.429555462001666
20,2023-01-21,West,Rainy,0.12539560090555552,0,91.14537764960969,0.1876376429334549,88.32552105756795,355,73.73252626537221
21,2023-01-22,South,Snowy,0.1316297915021756,0,89.75847579793428,0.1297478436933955,90.19040044511321,395,77.21158612258274
22,2023-01-23,East,Snowy,0.13785878037961183,0,99.7416954627284,0.024111999755016954,99.2121936614402,412,72.83521531086144
23,2023-01-24,North,Sunny,0.14408232138195554,1,96.11644870832858,0.036082830829308556,103.11633846866796,363,89.82071833658307
24,2023-01-25,North,Sunny,0.150300168568586,0,96.52027230885841,0.11434329607668788,94.13806657679069,426,70.51435550338037
25,2023-01-26,North,Snowy,0.15651207622388952,0,98.77129335151169,0.17598507834497726,102.61914510028535,353,69.43163349020978
26,2023-01-27,South,Sunny,0.16271779886696974,0,107.98014183487943,0.06232300155282102,110.03747871658447,427,63.605407382068265
27,2023-01-28,West,Snowy,0.1689170912613482,0,100.45638723046649,0.18818672057065908,101.95936440405274,390,73.90092632573777
28,2023-01-29,South,Snowy,0.17510970842465573,0,104.94298963603818,0.22002603258015077,103.16763843187307,354,66.49047819740218
29,2023-01-30,West,Cloudy,0.1812954056383136,0,104.61879889656707,0.03799870110798533,105.91528002218797,354,71.88706049290997
30,2023-01-31,North,Rainy,0.18747393845720423,1,92.41609074072811,0.2857870987699196,86.7822076647223,429,92.24219115202814
31,2023-02-01,North,Rainy,0.1936450627193311,1,103.12830583841321,0.12312897672691073,98.20720123913009,439,86.15303477969769
32,2023-02-02,South,Rainy,0.19980853455546754,0,103.12678317895538,0.16397653507742932,101.51121831064134,385,74.24447173765596
33,2023-02-03,West,Rainy,0.20596411039879395,0,98.61623244785582,0.26267999526954583,99.35147866660837,333,78.6803937848939
34,2023-02-04,East,Rainy,0.21211154699452278,1,99.39018717462595,0.13465772105907362,100.41259699178306,393,83.17620477188301
35,2023-02-05,South,Snowy,0.21825060140951183,0,103.20326919154436,0.22172849633562342,101.3540283735494,315,71.34693304813938
36,2023-02-06,South,Sunny,0.22438103104186405,0,88.6950427121033,0.22746644208720518,87.62622378564625,302,80.1073323817129
37,2023-02-07,South,Rainy,0.23050259363051478,0,101.59103205311911,0.03313226500571753,99.17653256277583,469,70.70113820014394
38,2023-02-08,South,Sunny,0.2366150472648055,0,107.36555791367942,0.21913190565493249,107.38966622916118,473,65.50523586527385
39,2023-02-09,West,Snowy,0.2427181503940434,0,94.2189882403432,0.27079644008734544,95.98684387798177,395,73.81230672906419
40,2023-02-10,East,Cloudy,0.24881166183704698,0,101.50047067710007,0.21312329438947558,101.73479128359027,448,72.88789137181678
41,2023-02-11,North,Cloudy,0.25489534079167714,0,98.75701222634595,0.1711437491914094,96.14703972086743,394,66.7906185425346
42,2023-02-12,North,Sunny,0.260968946844353,0,99.35138901046614,0.19977134353866785,101.76314696517045,459,73.8641448590635
43,2023-02-13,South,Cloudy,0.26703223997955255,0,97.12626075006762,0.2411896563821079,100.47928961973804,410,72.55131553129698
44,2023-02-14,North,Cloudy,0.2730849805892974,0,95.62391515095099,0.04255800955818917,95.45353294154938,465,75.2092078741545
45,2023-02-15,North,Snowy,0.27912692948262213,0,109.82190350102972,0.19071105882110403,111.87958299633412,496,66.39147297874845
46,2023-02-16,North,Cloudy,0.28515784789502563,0,103.2516369149017,0.2098851104233463,104.505285923768,394,69.36343003699238
47,2023-02-17,East,Rainy,0.29117749749790744,0,103.48484715002819,0.1260298686732564,103.64045468911462,330,73.55993014025657
48,2023-02-18,South,Snowy,0.2971856404079855,0,97.55111454835996,0.21157104659058643,96.54793063510819,349,70.5321988511499
49,2023-02-19,South,Sunny,0.3031820391966969,0,98.86425597727273,0.2461193424534532,98.89635373372401,443,75.45553493326464
50,2023-02-20,West,Rainy,0.30916645689958033,0,99.69187095850518,0.2938142635808602,100.60238723164774,404,68.92875317370886
51,2023-02-21,West,Snowy,0.315138657025641,1,104.54201348980894,0.14455407887347962,106.45427195156152,344,87.01625400697009
